,Acetate,Fructose,Galactose,Glucose,Glycerol,Gluconate,Pyruvate,Succinate,Acetate_sd,Fructose_sd,Galactose_sd,Glucose_sd,Glycerol_sd,Gluconate_sd,Pyruvate_sd,Succinate_sd
ACt2r,13.993020264151442,-2.652869200000667,0.277653580310382,-5.8844229799985435,0.20352253600464387,-4.14030618414839,-11.371229319989132,-2.5688514799901765,,,,,,,,
ACKr,-0.0,2.652869200000667,-0.0,5.8844229799985435,-0.0,4.14030618414839,11.371229319989132,2.5688514799901765,,,,,,,,
PTAr,-0.0,2.652869200000667,-0.0,5.8844229799985435,-0.0,4.14030618414839,11.371229319989132,2.5688514799901765,,,,,,,,
ACS,13.993020264151442,-0.0,0.277653580310382,-0.0,0.20352253600464387,-0.0,-0.0,-0.0,,,,,,,,
EX_ac_e,-13.993020264151442,2.652869200000667,-0.277653580310382,5.8844229799985435,-0.20352253600464387,4.14030618414839,11.371229319989132,2.5688514799901765,,,,,,,,
FRUpts,0.0,8.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27878382475977637,0.0,0.0,0.0,0.0,0.0,0.0
EX_fru_e,-0.0,-8.328,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.27878382475977637,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FRUK,0.0,8.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27878382475977637,0.0,0.0,0.0,0.0,0.0,0.0
GALabc,0.0,0.0,1.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324,0.0,0.0,0.0,0.0,0.0
EX_gal_e,-0.0,-0.0,-1.969,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01324,-0.0,-0.0,-0.0,-0.0,-0.0
GALKr,0.0,0.0,1.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324,0.0,0.0,0.0,0.0,0.0
UGLT,0.0,0.0,1.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324,0.0,0.0,0.0,0.0,0.0
PGMT,0.0,0.0,1.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324,0.0,0.0,0.0,0.0,0.0
GLCpts,0.0,0.0,0.0,9.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038030333935449565,0.0,0.0,0.0,0.0
EX_glc__D_e,-0.0,-0.0,-0.0,-9.654,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.038030333935449565,-0.0,-0.0,-0.0,-0.0
GLYCt,0.0,0.0,0.0,0.0,9.889667294413057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29171846992653955,0.0,0.0,0.0
EX_glyc_e,-0.0,-0.0,-0.0,-0.0,-9.889667294413057,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.29171846992653955,-0.0,-0.0,-0.0
GLYK,0.0,0.0,0.0,0.0,9.889667294413057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29171846992653955,0.0,0.0,0.0
G3PD2,0.0,0.0,0.0,0.0,9.889667294413057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29171846992653955,0.0,0.0,0.0
GLCNt2r,0.0,0.0,0.0,0.0,0.0,7.283923191952148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03359875150816665,0.0,0.0
EX_glcn_e,-0.0,-0.0,-0.0,-0.0,-0.0,-7.283923191952148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03359875150816665,-0.0,-0.0
GNK,0.0,0.0,0.0,0.0,0.0,7.283923191952148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03359875150816665,0.0,0.0
PYRt2r,0.0,0.0,0.0,0.0,0.0,0.0,26.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7981874920158541,0.0
EX_pyr_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-26.714,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7981874920158541,-0.0
SUCCt2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3056677647445522
EX_succ_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-15.902,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3056677647445522
FUMt2_2,1.3584251951476673e-07,8.327452103509015e-08,1.9689464740126164e-08,9.653732320004383e-08,1.0135684418181836e-07,7.283677334380136e-08,0.0,1.1399984779956418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069
EX_fum_e,1.3584251951476673e-07,8.327452103509015e-08,1.9689464740126164e-08,9.653732320004383e-08,1.0135684418181836e-07,7.283677334380136e-08,0.0,1.1399984779956418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069
LDH_D,0.0,0.0,0.0,0.0,0.0,0.0,1.1570100539739245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0
EX_lac__D_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1570100539739245,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.069,-0.0
D_LACt2,0.0,0.0,0.0,0.0,0.0,0.0,1.1570100539739245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0
PGI,-3.42325540770599,-6.197932334765144,1.3684855631159154,5.699970323068908,-3.449403274261296,-0.03132094256027043,-0.8981728081154179,-5.590319020596546,0.5666780634487865,0.3726369980004265,0.03996559584996782,0.3109588904537251,0.16235945829025733,4.415777678596033e-13,0.06672534586087864,0.5444872383237713
PFK,-0.0,-0.0,1.547450300464131,7.058477001281019,-0.0,0.48691922652975195,-0.0,-0.0,0.0,0.0,0.013959113642108476,0.14168330086541744,0.0,0.03281075205065292,0.0,0.0
FBP,1.886235167684545,2.461002245481769,-0.0,-0.0,1.5,-0.0,0.5870116711399115,2.6916049957257346,-0.3006083782161191,-0.12421233266678337,-0.0,-0.0,-0.0830561458502919,-0.0,-0.02224178195366753,-0.2995557161293454
FBA,-1.8862351676829718,5.866997754519925,1.5474503004639955,7.058477001280537,-1.4956986602582492,0.4869192265342796,-0.5870116711669722,-2.691604995726921,0.11807593010371766,0.04589317644938819,0.006421868261501605,0.05247529661680537,0.040518826421445435,0.015771287865939534,0.008636616972415927,0.1141701904358146
TPI,-1.8862351676675366,5.866997754518669,1.54745030046383,7.058477001279999,8.640301339740718,0.48691922652225406,-0.58701167113178,-2.691604995744147,0.3006083782160956,0.1242123326667929,0.013959113642101794,0.14168330086536052,0.08305614585030323,0.03281075205068058,0.022241781953718585,0.2995557161293316
GAPD,-2.263870367666462,13.464632154516496,3.3085239004662395,15.71039180129149,8.012882939729515,6.89458645850349,-1.1293058711585884,-3.4151459957639814,0.3006083782161455,0.12421233266678901,0.013959113642123657,0.14168330086519815,0.08305614585032567,0.03281075205105849,0.022241781953646823,0.2995557161291664
PGK,2.263870367666462,-13.464632154516496,-3.3085239004662395,-15.71039180129149,-8.012882939729515,-6.89458645850349,1.1293058711585884,3.4151459957639814,-0.3006083782161455,-0.12421233266678901,-0.013959113642123657,-0.14168330086519815,-0.08305614585032567,-0.03281075205105849,-0.022241781953646823,-0.2995557161291664
PGM,2.7365935676724247,-12.598520154512068,-3.0415275004657847,-14.557704201289363,-7.258764539727362,-5.873380426982862,1.7891416711547217,4.273853995767203,-0.30060837821616576,-0.12421233266681501,-0.013959113642125162,-0.1416833008651839,-0.08305614585034297,-0.03281075205075142,-0.02224178195371937,-0.29955571612916143
ENO,-2.7365935676724247,12.598520154512068,3.0415275004657847,14.557704201289363,7.258764539727362,5.873380426982862,-1.7891416711547217,-4.273853995767203,0.30060837821616576,0.12421233266681501,0.013959113642125162,0.1416833008651839,0.08305614585034297,0.03281075205075142,0.02224178195371937,0.29955571612916143
PYK,-0.0,0.6690372405469898,3.357342793561039,2.4873080978376993,5.507263841087922,3.4645871723459716,-0.0,-0.0,0.0,0.46927856533454204,0.03157708409202633,0.1416833008652736,0.08305614585026384,0.0328107520500741,0.0,0.0
PPS,1.65319540547002,-0.0,-0.0,-0.0,-0.0,-0.0,3.450384134033866,3.73003729455362,-1.3109549362071655,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24713063503914945,-3.518276821545023
PDH,0.06546265715382037,9.068825630368542,2.942698350144697,11.29846426880824,4.0977358912647155,7.505541965231355,21.0173942415587,7.7520818583165525,0.1664440576964316,0.12154576527075449,0.03325553458859781,0.09059491364285713,0.05157718296665882,0.016405376026153082,0.11010919474263556,0.04052228066083382
EDD,0.8215938476775198,8.328065533902417e-10,0.17297213086502874,1.0869910596271795,0.014580353245472539,5.818960661819838,2.671424588454485e-09,0.655464183289113,0.20469050031887914,3.906119743798655e-14,0.015483415691112855,0.07991142580332969,0.0,0.049216128076526484,4.283157334621506e-14,0.24442134883597966
EDA,0.8215938476775198,8.328065533902417e-10,0.17297213086502874,1.0869910596271795,0.014580353245472539,5.818960661819838,2.671424588454485e-09,0.655464183289113,0.20469050031887914,3.906119743798655e-14,0.015483415691112855,0.07991142580332969,0.0,0.049216128076526484,4.283157334621506e-14,0.24442134883597966
G6PDH2r,3.4083130077194776,6.171282734761359,0.591653936883625,3.919275276928566,3.4260904742569434,0.0,0.8768016081346633,5.5632856205805385,0.49257949442966775,0.3726369980003275,0.04977913299557243,0.2832892186008659,0.0717482097724866,0.06960211581325916,0.06672534586091873,0.5290230527275308
PGL,3.4083130077194776,6.171282734761359,0.591653936883625,3.919275276928566,3.4260904742569434,0.0,0.8768016081346633,5.5632856205805385,0.49257949442966775,0.3726369980003275,0.04977913299557243,0.2832892186008659,0.0717482097724866,0.06960211581325916,0.06672534586091873,0.5290230527275308
GND,2.586719160041958,6.171282733928552,0.4186818060185962,2.8322842173013867,3.411510121011471,1.4649626029673033,0.8768016054632387,4.9078214372914255,0.4480361117273852,0.3726369980003275,0.0473098924150868,0.27178474092849314,0.1547315489012577,0.04921612807644748,0.06672534586091873,0.4691733097165227
RPI,-1.02932292002225,-2.39854224464884,-0.227903068671968,-1.42743833909665,-1.42638390700087,-0.90520407168297,-0.538926468476706,-1.97412301242644,-0.14934537057579736,-0.1242123326667219,-0.01576996413836489,-0.0905949136428246,-0.05157718296700232,-0.01640537602543701,-0.022241781953598695,-0.15639110323882294
RPE,1.5573962400197114,3.772740489279715,0.190778737346628,1.4048458782047375,1.9851262140106052,0.5597585312843337,0.3378751369865324,2.933698424864982,0.14934537057579736,0.1242123326667219,0.01576996413836489,0.0905949136428246,0.05157718296700232,0.01640537602543701,0.022241781953598695,0.15639110323882294
TKT1,0.8391469200127232,1.9838078446424345,0.13220966867360662,0.8202017391036417,1.080746307005579,0.38877391735260175,0.24774386849876848,1.5638514124313765,0.14934537057579736,0.1242123326667219,0.01576996413836489,0.0905949136428246,0.05157718296700232,0.01640537602543701,0.022241781953598695,0.15639110323882294
TALA,0.8391469200127232,1.9838078446424345,0.13220966867360662,0.8202017391036417,1.080746307005579,0.38877391735260175,0.24774386849876848,1.5638514124313765,0.14934537057579736,0.1242123326667219,0.01576996413836489,0.0905949136428246,0.05157718296700232,0.01640537602543701,0.022241781953598695,0.15639110323882294
TKT2,0.7182493200069884,1.7889326446372806,0.0585690686730214,0.5846441391010958,0.9043799070050262,0.17098461393173195,0.0901312684877639,1.3698470124336055,0.14934537057579525,0.12421233266681282,0.01576996413835743,0.09059491364282056,0.05157718296722663,0.016405376025557056,0.02224178195369464,0.1563911032388626
PPC,1.7741454869694078,3.5456688226773463,0.3773862823805695,2.453331329249887,1.376468598295365,1.9433504905565535,2.489448585123298,2.016110198520149,0.3538569983453278,0.11581331843239412,0.02058704520158467,0.1208123132013598,1.8932737038720695e-13,1.4219387874992685e-12,0.1278912153376516,0.05266287022995557
PPCK,3.114281249166248,0.358920308694773,0.8489494754750043,0.540874025794242,-1.0035180104762341e-07,-7.211080821033825e-08,1.1648025222064504,2.9717886997229046,1.2093551951815567,0.4585957850358099,0.03335008711800975,0.12081231320137097,7.594295846596175e-14,2.628534507204829e-13,0.2741031016454305,3.4868472506508628
CS,8.834019072475536,4.568329268816689,1.5209626722625027,2.9779712878442943,2.4648364262557534,1.1540337082429524,8.081921490407185,3.1554008705398973,0.1493453705757971,0.12421233266710878,0.01576996413842978,0.09059491364287518,0.05157718296648462,0.016405376025806398,0.022241781953843062,0.15639110323862052
ACONTa,8.834019072475536,4.568329268816689,1.5209626722625027,2.9779712878442943,2.4648364262557534,1.1540337082429524,8.081921490407185,3.1554008705398973,0.1493453705757971,0.12421233266710878,0.01576996413842978,0.09059491364287518,0.05157718296648462,0.016405376025806398,0.022241781953843062,0.15639110323862052
ACONTb,8.834019072475536,4.568329268816689,1.5209626722625027,2.9779712878442943,2.4648364262557534,1.1540337082429524,8.081921490407185,3.1554008705398973,0.1493453705757971,0.12421233266710878,0.01576996413842978,0.09059491364287518,0.05157718296648462,0.016405376025806398,0.022241781953843062,0.15639110323862052
ICDHyr,4.696417223651647,4.566118827256721,0.49617741406965626,2.977971286877574,2.464836425226839,1.1540336354134588,7.979320059225184,3.038949362757799,0.3367385238778437,0.12824584373930498,0.03537552602643361,0.09059491364287452,0.05157718296647996,0.01640537602572317,0.1015074754051322,0.30135543171511703
AKGDH,4.267162823648706,3.8748948272683545,0.2360725140695101,2.1380732868771095,1.8404588252331306,0.182358281607563,7.415654659249418,2.351982962752786,0.3367385238778471,0.12824584373938552,0.03537552602643175,0.09059491364286827,0.051577182966512855,0.016405376025680814,0.10150747540515592,0.3013554317151042
SUCOAS,-4.267162823648706,-3.8748948272683545,-0.2360725140695101,-2.1380732868771095,-1.8404588252331306,-0.182358281607563,-7.415654659249418,-2.351982962752786,-0.3367385238778471,-0.12824584373938552,-0.03537552602643175,-0.09059491364286827,-0.051577182966512855,-0.016405376025680814,-0.10150747540515592,-0.3013554317151042
SUCDi,8.404764672475025,3.8771052688168854,1.260857772263266,2.13807328784816,1.8404588262522221,0.182358354440685,7.518256090405909,18.370434470519445,0.14934537057579683,0.12421233266723478,0.015769964138426032,0.09059491364287371,0.05157718296647425,0.0164053760259178,0.022241781953799493,0.15639110323857952
FUM,8.404764672475025,3.8771052688168854,1.260857772263266,2.13807328784816,1.8404588262522221,0.182358354440685,7.518256090405909,17.2304359925238,0.14934537057579683,0.12421233266723478,0.015769964138426032,0.09059491364287371,0.05157718296647425,0.0164053760259178,0.022241781953799493,0.15639110323857952
MDH,10.6713,2.2277055548415685,2.2851192653570886,2.1380733843895072,1.8404589276110057,0.18235849938993823,7.427796827491855,4.950704971750809,1.2020867943308706,0.46927856533462853,0.033160972132899605,0.09059491364289382,0.05157718296644374,0.01640537602606445,0.2471306350391394,3.4753786787522696
MOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME1,1.871037286635921,1.6516101555292406,0.0005237650994886568,-0.0,-0.0,-0.0,0.19306069405971413,12.396182528590991,1.1855385189435748,0.4624656952297224,0.0032804376971159806,0.0,0.0,0.0,0.24961158043234782,3.4725351329387877
ME2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICL,4.137601848829727,0.0022104415511857377,1.024785258192576,9.654038383555274e-10,1.0136062348760075e-09,7.284001341875983e-08,0.10260143116238521,0.11645150778647861,0.21964559906930478,0.013471494320481937,0.030495695471381284,2.7728759804711397e-14,3.1641530971798513e-14,1.7684438379968275e-13,0.10353359020386783,0.14754795340800045
MALS,4.137601848829727,0.0022104415511857377,1.024785258192576,9.654038383555274e-10,1.0136062348760075e-09,7.284001341875983e-08,0.10260143116238521,0.11645150778647861,0.21964559906930478,0.013471494320481937,0.030495695471381284,2.7728759804711397e-14,3.1641530971798513e-14,1.7684438379968275e-13,0.10353359020386783,0.14754795340800045
Biomass_Ecoli_core_w_GAM,0.29,0.49239999999999995,0.18,0.65,0.49,0.59,0.39,0.51,0.013,0.01,0.01,0.01,0.008,0.025,0.01,0.01
GLUSy,1.6235324000029412,2.7190256799883663,1.0013809000001461,3.516728000000464,2.6422955999937083,3.4014133538058955,2.169763399975767,2.787248400005013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLNS,1.6235324000029412,2.7190256799883663,1.0013809000001461,3.516728000000464,2.6422955999937083,3.4014133538058955,2.169763399975767,2.787248400005013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
